,ERed
1355,1.1
1356,1.15
1357,1.16
1358,1.09
1359,1.34
1360,1.04
1361,1.23
1362,1.26
1363,1.18
1364,1.47
1365,1.31
1366,1.71
1367,1.14
1368,1.4
1369,1.13
1370,1.42
1371,1.56
1372,1.48
1373,0.92
1374,1.49
1375,1.72
1376,1.41
1377,1.69
1378,1.69
1379,1.63
1380,1.1
1381,1.49
1382,1.41
1383,1.33
1384,1.48
1385,1.32
1386,1.29
1387,1.43
1388,1.23
1389,1.36
1390,1.44
1391,1.37
1392,1.31
1393,1.15
1394,1.32
1395,1.47
1396,1.22
1397,1.36
1398,1.45
1399,1.42
1400,1.18
1401,1.35
1402,1.08
1403,1.17
1404,1.18
1405,1.36
1406,1.42
1407,1.62
1408,1.14
1409,1.28
1410,1.3
1411,1.46
1412,1.42
1413,1.28
1414,1.12
1415,1.45
1416,1.36
1417,1.44
1418,1.07
1419,1.35
1420,1.35
1421,1.45
1422,1.19
1423,1.04
1424,1.36
1425,1.63
1426,1.15
1427,1.63
1428,1.19
1429,1.54
1430,1.5
1431,1.47
1432,1.28
1433,1.05
1434,1.15
1435,1.24
1436,1.17
1437,1.22
1438,1.31
1439,1.43
1440,1.55
1441,1.17
1442,1.35
1443,1.14
1444,1.04
1445,1.18
1446,1.47
1447,1.43
1448,1.5
1449,1.29
1450,1.3
1451,1.47
1452,1.29
1453,1.28
1454,1.28
1455,1.5
1456,1.57
1457,1.42
1458,1.21
1459,1.38
1460,1.5
1461,1.58
1462,1.14
1463,1.15
1464,1.09
1465,1.22
1466,1.13
1467,1.2
1468,1.07
1469,1.74
1470,1.72
1471,1.22
1472,1.35
1473,1.42
1474,1.61
1475,1.44
1476,1.06
1477,1.46
1478,1.23
1479,1.47
1480,1.35
1481,1.1
1482,1.41
1483,1.21
1484,1.39
1485,1.31
1486,1.17
1487,1.51
1488,1.45
1489,1.21
1490,1.56
1491,1.43
1492,1.46
1493,1.22
1494,1.51
1495,1.33
1496,1.14
1497,1.16
1498,1.39
1499,1.19
1500,1.44
1501,1.21
1502,1.46
1503,1.05
1504,1.57
1505,1.21
1506,1.45
1507,1.55
1508,1.28
1509,1.63
1510,1.16
1511,1.64
1512,1.5
1513,1.35
1514,1.47
1515,1.34
1516,1.52
1517,1.15
1518,1.47
1519,1.48
1520,1.12
1521,1.27
1522,1.11
1523,1.41
1524,1.28
1525,1.57
1526,1.09
1527,1.6
1528,1.46
1529,1.42
1530,1.48
1531,1.21
1532,1.34
1533,1.21
1534,1.47
1535,1.57
1536,1.3
1537,1.37
1538,1.12
1539,1.46
1540,1.22
1541,1.53
1542,1.05
1543,1.55
1544,1.15
1545,1.14
1546,1.56
1547,1.47
1548,1.51
1549,1.44
1550,1.48
1551,1.47
1552,1.17
1553,1.1
1554,1.32
1555,1.68
1556,1.46
1557,1.43
1558,1.06
1559,1.46
1560,1.2
1561,1.03
1562,1.43
1563,1.45
1564,1.44
1565,1.64
1566,1.38
1567,1.5
1568,1.48
