,SMILES,ERed
268,CCCCc1c2c(cc3nsnc13)N(C)C(OC)N2C,1.21
269,CCCOc1c2c(cc3nsnc13)N(C(C)CC)CCN2C,1.15
270,COc1c(C)c(C)c2nsnc2c1OC,1.58
271,CCN1CN(CC(C)C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,1.2
272,CCOC1N(C)c2cc3nsnc3c(C)c2N1C(C)C,1.22
273,CCN1CCN(C(C)C)c2cc3nsnc3c(N(C)C)c21,1.17
274,CCN1CN(CC(C)C)c2cc3nsnc3c(OC)c21,1.1
275,CC(C)N(C)CCN1CCN(C)c2cc3nsnc3cc21,1.1
276,CNc1cc2nsnc2c(OC)c1NC(C)C,1.38
277,CCCN1CN(C)c2c1cc1nsnc1c2OCCOC,1.17
278,CCNc1c2c(c(C)c3nsnc13)OCC(C)O2,1.38
279,CCCN1CCN(C)c2c1c(C)c1nsnc1c2C(C)C,1.24
280,CCOc1cc2nsnc2c2c1C(C)CCN2,1.37
281,CCC(C)N1CN(C)c2cc3nsnc3c(/[NH+]=C(\C)[O-])c21,1.23
282,CCC1Oc2cc3nsnc3c(NC)c2OC1CC,1.39
283,CCc1c2c(cc3nsnc13)N(CC)CCN2C(C)CC,1.22
284,CNc1c2c(cc3nsnc13)N(C)C(OC)N2C,1.13
285,C/C([O-])=[NH+]\c1cccc2nsnc12,1.82
286,CCCOC1N(CC)c2cc3nsnc3cc2N1CC(C)C,1.1
287,CCc1c2c(c(CC)c3nsnc13)N(C)CCN2C,1.32
288,CCN1c2c(cc3nsnc3c2C)N(C)C1OC(C)C,1.2
289,CCC(C)N1CN(C(C)C)c2cc3nsnc3c(OC)c21,1.05
290,CCC(C)c1c2c(c(OC)c3nsnc13)OCCO2,1.45
291,CCCN1CN(C)c2cc3nsnc3c(C(C)CC)c21,1.09
292,CCN1CCN(CC(C)C)c2cc3nsnc3c(OC)c21,1.21
293,CCc1c2c(cc3nsnc13)OC(CC(C)C)CO2,1.55
294,COCCN(C)c1c2c(cc3nsnc13)N(C)CCN2C,1.26
295,CCCC1COc2cc3nsnc3c(OCCOC)c2O1,1.56
296,COCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,1.23
297,CCOc1c2c(c(NC)c3nsnc13)N(C)CCN2C,1.34
298,CCN1CCN(C)c2c1cc1nsnc1c2CC(C)C,1.24
299,CCCN1CCN(CC(C)C)c2c1cc1nsnc1c2OC,1.08
300,CCCCN(CC)c1c(N)c(N)cc2nsnc12,1.24
301,CCOc1c(C)c(OC)c(C)c2nsnc12,1.56
302,CCCC1Oc2c(c(OC)c3nsnc3c2C)OC1CC,1.54
303,CCCC1COc2cc3nsnc3c(OC(=O)CC)c2O1,1.77
304,CC(C)N(C)c1c(N)cc2nsnc2c1N(C)C,1.36
305,CCOc1c2c(cc3nsnc13)N(CCN(C)C)CN2C,1.19
306,CCCOCCc1c2c(cc3nsnc13)N(C)CCN2CC,1.33
307,CCOc1c2c(c(OCC)c3nsnc13)C1CCC2C1,1.5
308,CCN1CN(C)c2c1cc1nsnc1c2N(C)C,1.07
309,CCCNc1c2c(cc3nsnc13)OCCC2,1.45
310,CCCCC1Oc2cc3nsnc3c(CCC)c2OC1CC,1.32
311,CCCNc1c(N)cc2nsnc2c1C,1.34
312,CCC(C)N1CCN(C)c2c1c(NC)c1nsnc1c2C,1.26
313,CCCCN1CN(CC(C)C)c2cc3nsnc3cc21,1.07
314,CCc1c2c(c(C)c3nsnc13)OC(C(C)C)C(C)O2,1.31
315,CCCc1c2c(c(CC)c3nsnc13)OC(C)CO2,1.41
316,CCCN1c2cc3nsnc3c(C)c2N(C)C1OC(C)C,1.08
317,CNc1c2c(cc3nsnc13)C(C)(C)CO2,1.43
318,Cc1c2c(cc3nsnc13)N(CCOC(C)C)CN2C,1.15
319,CC(C)COc1c2c(cc3nsnc13)N(CC(C)C)CN2C,1.19
320,CCOc1cc2nsnc2c(NC)c1C,1.32
321,CCC(C)OCCc1c2c(cc3nsnc13)OCC(C)O2,1.54
322,CCCC/C([O-])=[NH+]\c1c2c(cc3nsnc13)OCCO2,1.69
323,Cc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,1.41
324,CCCC1COc2cc3nsnc3c(OCC(C)C)c2O1,1.6
325,CCCc1c2c(cc3nsnc13)N(CC(C)C)CCN2CC,1.37
326,CC(C)N1CCOc2c1ccc1nsnc21,1.46
327,CNc1c2c(cc3nsnc13)OCCC2,1.41
328,CCN1CCN(CCOC)c2c1c(C)c1nsnc1c2C,1.3
329,Cc1c2c(c(OCCN(C)C)c3nsnc13)OCCO2,1.51
330,CCCN1c2cc3nsnc3cc2N(C(C)C)C1OCC,1.12
331,CCCOC1N(C)c2c(cc3nsnc3c2C)N1CC(C)C,1.15
332,COc1c2c(c(C)c3nsnc13)N(CC(C)C)CN2C,1.23
333,CCCc1c2c(c(C)c3nsnc13)OC(C(C)CC)CO2,1.39
334,CCN(C)c1c2c(c(C(C)C)c3nsnc13)C1CCC2CC1,1.31
335,CCCCc1c2c(cc3nsnc13)N(CC)CN2CC(C)C,1.03
336,CCON(CC)c1c(N(C)CC)c(C)c2nsnc2c1C,1.55
337,CCCCc1c2c(c(CC)c3nsnc13)OC(C)CO2,1.44
338,CCCC/C([O-])=[N+](/C)c1c2c(cc3nsnc13)N(C)CN2C,1.26
339,CC1Cc2c3c(c4nsnc4c2C1)OCCO3,1.45
340,CCc1c2c(c(OC)c3nsnc13)OC(C(C)C)CO2,1.49
341,Cc1c2c(c(CCN(C)C)c3nsnc13)OCC(C)O2,1.29
342,COc1c2c(c(C)c3nsnc13)N(C)CN2C(C)C,1.15
343,CCC(C)Oc1c2c(cc3nsnc13)C1CCC2C1,1.47
344,CCN1CCN(C)c2c1c(C)c1nsnc1c2/[N+](C)=C(\C)[O-],1.49
345,CCCCc1c2c(cc3nsnc13)N(C)CN2C(C)C,1.26
346,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,1.16
347,CCCCc1c2c(cc3nsnc13)N(C)CN2CC,1.12
348,CCC(C)Nc1c(NC)c(C)c2nsnc2c1C(C)C,1.42
349,CCOc1ccc2nsnc2c1CCOC,1.58
350,CCN1CCCc2cc3nsnc3cc21,1.35
351,CC1c2c3c(c4nsnc4c2N(C)C1C)OCCO3,1.39
352,CCCOCCN1c2cc3nsnc3cc2N(C)C1OC,1.16
353,CCC(C)c1c2c(c(OC)c3nsnc13)OCC(C)O2,1.63
354,CCN1CN(C)c2c1c(C)c1nsnc1c2NC,1.17
355,CCc1c2c(c(C)c3nsnc13)N(CC)CCN2CC,1.32
356,CCCOC1N(C)c2cc3nsnc3c(C)c2N1C,1.24
357,Cc1c2c(c(N(CC(C)C)C(C)C)c3nsnc13)OCCO2,1.33
358,CCC(C)c1c2c(cc3nsnc13)OC(C(C)C)CO2,1.49
359,CCc1c(N(C)CC)c(N(C)C(C)C)c(C)c2nsnc12,1.5
360,CCCN1CN(C)c2c1c(CC)c1nsnc1c2CC,1.19
361,CCC(C)Oc1c2c(c(C)c3nsnc13)N(C)CN2C,1.19
362,CCCC1COc2c(c(OC(C)=O)c3nsnc3c2C)O1,1.67
